campaign_id,platform,copy_review,ip_review,privacy_review,rights_review,a11y_review,format_review,dependency_review,sentinel_review,founder_review
SOC-D27,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D27,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D27,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D28,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D28,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D28,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D29,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D29,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D29,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D30,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D30,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D30,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
